domain,model,split,seed,n,n_positive,base_rate,PR_AUC,lift,evaluable,use_time_encoding,use_memory
cert42,day_gnn_strict_notime,user_disjoint,2,100747,322,0.0031961249466485,0.5114530515281734,160.02285895126985,True,False,True
cert52,day_gnn_strict_notime,chronological,2,211790,494,0.0023324991737098,0.7651058277948556,328.0197637017661,True,False,True
cert52,day_gnn_strict_notime,user_disjoint,2,209462,412,0.0019669438848096,0.4732073215278562,240.5799805385141,True,False,True
spedia,day_gnn_strict_notime,chronological,2,61,25,0.4098360655737705,0.9825877857862514,2.3975141973184533,True,False,True
spedia,day_gnn_strict_notime,user_disjoint,2,59,27,0.4576271186440678,0.7720750751475538,1.687127016063173,True,False,True
cert42,day_gnn_strict_notime,chronological,3,99685,295,0.0029593218638711,0.6031660192165518,203.8189987308541,True,False,True
cert42,day_gnn_strict_notime,user_disjoint,3,98963,229,0.0023139961399715,0.4304912921471357,186.0380338198996,True,False,True
cert52,day_gnn_strict_notime,chronological,3,211790,494,0.0023324991737098,0.7560886971063667,324.1538970853389,True,False,True
cert52,day_gnn_strict_notime,user_disjoint,3,207440,439,0.0021162745854222,0.4184853267576447,197.74623276220004,True,False,True
spedia,day_gnn_strict_notime,chronological,3,61,25,0.4098360655737705,0.9618564443607922,2.346929724240333,True,False,True
spedia,day_gnn_strict_notime,user_disjoint,3,53,32,0.6037735849056604,0.9326023905425574,1.544622709336111,True,False,True
cert42,day_gnn_strict_notime,chronological,4,99685,295,0.0029593218638711,0.6068816899420844,205.0745805487345,True,False,True
cert42,day_gnn_strict_notime,user_disjoint,4,99001,327,0.0033029969394248,0.3872021030472749,117.22750888007116,True,False,True
cert52,day_gnn_strict_notime,chronological,4,211790,494,0.0023324991737098,0.7542523763668713,323.366621033886,True,False,True
cert52,day_gnn_strict_notime,user_disjoint,4,205745,406,0.0019733164839971,0.5013383118682728,254.05874624467435,True,False,True
spedia,day_gnn_strict_notime,chronological,4,61,25,0.4098360655737705,0.982842546980478,2.3981358146323664,True,False,True
spedia,day_gnn_strict_notime,user_disjoint,4,59,25,0.423728813559322,0.8673076253779691,2.0468459958920078,True,False,True
