Domain,RF user-disjoint PR-AUC,RF chronological PR-AUC,GNN user-disjoint PR-AUC,GNN chronological PR-AUC
CERT r4.2,0.5497,0.6660,0.4443,0.6211
CERT r5.2,0.6254,0.8150,0.4776,0.7554
SPEDIA,0.9895,0.9924,0.8072,0.9720
LANL,0.0036,n/e,n/e,n/e
CERT r6.2,n/e,n/e,n/e,n/e
