source,target,seed,gnn_pr_auc,rf_pr_auc,gnn_lift,rf_lift,base_rate,delta_gnn_minus_rf,row_type,ci_lo,ci_hi,n_seeds,interval_class,interval_status
cert42,spedia,0,0.3248971153578572,0.2931504436427848,1.0143129455074569,0.915201385031133,0.3203125,0.031746671715072394,per_seed,,,,,
cert42,spedia,1,0.4364569409063238,0.3486887446622965,1.36259727892706,1.0885892516286328,0.3203125,0.08776819624402732,per_seed,,,,,
cert42,spedia,2,0.5207876466093749,0.3259006208038155,1.6258736284390245,1.0174458405582532,0.3203125,0.19488702580555944,per_seed,,,,,
cert42,spedia,3,0.4570013847264762,0.301567408976163,1.4267360303655845,0.941478740218265,0.3203125,0.1554339757503132,per_seed,,,,,
cert42,spedia,4,0.4488310810789626,0.3047004008641771,1.4012287409294444,0.9512597880637724,0.3203125,0.14413068021478548,per_seed,,,,,
cert42,spedia,"mean(0,1,2,3,4)",0.437594833735799,0.31480152378984744,1.3661497248337142,0.9827950011000113,0.3203125,0.12279330994595157,summary_paired_bootstrap_5000,0.07538178218868463,0.16895453666530616,5.0,A,SUPPORTED
cert52,spedia,0,0.382349895782539,0.4075270206990515,1.1936777234186584,1.2722794792555754,0.3203125,-0.025177124916512528,per_seed,,,,,
cert52,spedia,1,0.3467418040436679,0.3501855981138583,1.0825109979899876,1.0932623550871674,0.3203125,-0.003443794070190409,per_seed,,,,,
cert52,spedia,2,0.3179410247349048,0.34190193177079,0.9925963699040932,1.0674011528453933,0.3203125,-0.02396090703588516,per_seed,,,,,
cert52,spedia,3,0.3397482579152853,0.3544614081025143,1.0606774881257688,1.1066112252956544,0.3203125,-0.014713150187229018,per_seed,,,,,
cert52,spedia,4,0.2746206876171329,0.362746889336641,0.8573523906095856,1.1324780935387817,0.3203125,-0.08812620171950813,per_seed,,,,,
cert52,spedia,"mean(0,1,2,3,4)",0.332280334018706,0.36336456960457103,1.0373629940096185,1.1344064612045144,0.3203125,-0.03108423558586505,summary_paired_bootstrap_5000,-0.060610532476327715,-0.011893882832593784,5.0,C,RF_SUPPORTED
