source,target,n_seeds,n_boot,rf_mean_pr_auc,gnn_mean_pr_auc,rf_mean_lift,gnn_mean_lift,mean_paired_delta_pr,ci_lo,ci_hi,interval_class,interpretation,status,per_seed_delta
cert42,spedia,5,5000,0.31480152378984744,0.437594833735799,0.9827950011000113,1.3661497248337142,0.12279330994595157,0.07538178218868463,0.16895453666530616,A,95% CI excludes zero in favour of GNN,SUPPORTED,"0.031747,0.087768,0.194887,0.155434,0.144131"
cert52,spedia,5,5000,0.36336456960457103,0.332280334018706,1.1344064612045144,1.0373629940096185,-0.03108423558586505,-0.060610532476327715,-0.011893882832593784,C,95% CI excludes zero in favour of RF,RF_SUPPORTED,"-0.025177,-0.003444,-0.023961,-0.014713,-0.088126"
