variant,source,target,seed,pr_auc,roc_auc,base_rate,lift
V0_full,cert42,spedia,0,0.7059668683701565,0.8028455284552846,0.3203125,2.2039941256434155
V0_full,cert42,spedia,1,0.6962868308011126,0.852116624614522,0.3203125,2.173773520549815
V0_full,cert42,spedia,2,0.6405262739098834,0.7877067563779084,0.3203125,1.9996917819625628
V0_full,cert42,spedia,3,0.5448029829279015,0.716708718811326,0.3203125,1.7008483369456435
V0_full,cert42,spedia,4,0.7156388443294222,0.840201850294365,0.3203125,2.2341895627845374
V0_full,cert52,spedia,0,0.538363520061934,0.6763737033922063,0.3203125,1.6807446479982329
V0_full,cert52,spedia,1,0.6596741381903936,0.7685029436501261,0.3203125,2.059470480204156
V0_full,cert52,spedia,2,0.4652727350366125,0.6329548640313989,0.3203125,1.452558782553327
V0_full,cert52,spedia,3,0.7003463436080972,0.7912111017661901,0.3203125,2.186447121508206
V0_full,cert52,spedia,4,0.7570137752666111,0.8428301093355761,0.3203125,2.363360078881127
V1_-SSL,cert42,spedia,0,0.6719274598637525,0.7740398093636109,0.3203125,2.097724752745373
V1_-SSL,cert42,spedia,1,0.7124553701581701,0.8594056630221475,0.3203125,2.224250911713312
V1_-SSL,cert42,spedia,2,0.6270474511815968,0.795206055508831,0.3203125,1.9576115549084
V1_-SSL,cert42,spedia,3,0.5523119795579994,0.7153069806560135,0.3203125,1.7242910581322908
V1_-SSL,cert42,spedia,4,0.6976077302290467,0.8344547238575833,0.3203125,2.1778973041297065
V1_-SSL,cert52,spedia,0,0.5720989086073063,0.6934048219792541,0.3203125,1.7860648854081758
V1_-SSL,cert52,spedia,1,0.6538948548810954,0.7679772918418839,0.3203125,2.0414278396287857
V1_-SSL,cert52,spedia,2,0.4450507269878873,0.6351275581721334,0.3203125,1.3894266598646237
V1_-SSL,cert52,spedia,3,0.7021592120005504,0.7870058873002523,0.3203125,2.1921068081968405
V1_-SSL,cert52,spedia,4,0.7554366238877043,0.8482268012335296,0.3203125,2.3584362892103936
V2_-memory,cert42,spedia,0,0.6759908143907689,0.7823100644799552,0.3203125,2.1104103473663027
V2_-memory,cert42,spedia,1,0.7299572173188046,0.8542893187552565,0.3203125,2.2788908248001705
V2_-memory,cert42,spedia,2,0.6185182520284079,0.7676619007569385,0.3203125,1.9309838112106394
V2_-memory,cert42,spedia,3,0.6008687628765234,0.7589711241940006,0.3203125,1.8758829670291461
V2_-memory,cert42,spedia,4,0.6642988326239598,0.809573871600785,0.3203125,2.073908550630899
V2_-memory,cert52,spedia,0,0.5234094809717234,0.6512825904121109,0.3203125,1.6340588674239167
V2_-memory,cert52,spedia,1,0.6499642088186082,0.7409587888982337,0.3203125,2.029156554360533
V2_-memory,cert52,spedia,2,0.483065314928225,0.66621110176619,0.3203125,1.5081063490442146
V2_-memory,cert52,spedia,3,0.7226477651760711,0.8006027474067844,0.3203125,2.2560710717691976
V2_-memory,cert52,spedia,4,0.6973957150889738,0.8084174376226521,0.3203125,2.1772354032046013
V3_-timeenc,cert42,spedia,0,0.6629838379183246,0.7753714606111579,0.3203125,2.069803201305989
V3_-timeenc,cert42,spedia,1,0.7479887378218217,0.8707246986262966,0.3203125,2.335184352224224
V3_-timeenc,cert42,spedia,2,0.6692188035807695,0.8124474348191758,0.3203125,2.0892684599594755
V3_-timeenc,cert42,spedia,3,0.5968744618625306,0.7443930473787497,0.3203125,1.8634129541074125
V3_-timeenc,cert42,spedia,4,0.691139397309561,0.8305298570227083,0.3203125,2.1577034842835072
V3_-timeenc,cert52,spedia,0,0.612033834735589,0.7060905522848332,0.3203125,1.9107397767354974
V3_-timeenc,cert52,spedia,1,0.7236732743626862,0.8170731707317073,0.3203125,2.259272661424972
V3_-timeenc,cert52,spedia,2,0.5253796578413727,0.6779156153630502,0.3203125,1.6402096635047734
V3_-timeenc,cert52,spedia,3,0.7270240124692493,0.8062797869358004,0.3203125,2.2697335023430223
V3_-timeenc,cert52,spedia,4,0.7230010620752928,0.804457527333894,0.3203125,2.2571740474545727
V4_-deviation,cert42,spedia,0,0.7858878315751913,0.8772778245023829,0.3203125,2.453503474185963
V4_-deviation,cert42,spedia,1,0.6559274632566263,0.8426548920661621,0.3203125,2.0477735438255653
V4_-deviation,cert42,spedia,2,0.7291749071293837,0.8442668909447715,0.3203125,2.276448490550271
V4_-deviation,cert42,spedia,3,0.6155088822174916,0.8238716007849733,0.3203125,1.9215887054594858
V4_-deviation,cert42,spedia,4,0.7827385989166328,0.8854079058031961,0.3203125,2.4436717234470486
V4_-deviation,cert52,spedia,0,0.4267692063438424,0.6506868516961033,0.3203125,1.3323526441954106
V4_-deviation,cert52,spedia,1,0.6631363267909225,0.7739697224558453,0.3203125,2.070279264127758
V4_-deviation,cert52,spedia,2,0.4894793915730572,0.6568544995794785,0.3203125,1.5281307834475932
V4_-deviation,cert52,spedia,3,0.46559731364720813,0.609475749929913,0.3203125,1.4535721011425033
V4_-deviation,cert52,spedia,4,0.8143075413976713,0.8696383515559294,0.3203125,2.542228421924437
