source,target,model,seed,pr_auc,roc_auc,prevalence,lift,diagonal_protocol,cell_kind,wall_s,peak_rss_gb
lanl,spedia,random_forest,0,0.3629121048900012,0.5270885898514158,0.3203125,1.132993888437077,full_source,off_diagonal,15.81188310001744,1.810340881347656
cert42,cert52,random_forest,1,0.5904848734499637,0.973895756332392,0.0018842382818976,313.3812103930328,full_source,off_diagonal,12.721417600056157,1.7423820495605469
cert42,cert62,random_forest,1,0.1146762324515228,0.974375312466862,3.156361862540441e-05,3633.177609085167,full_source,off_diagonal,13.73010070004966,2.3411178588867188
cert42,spedia,random_forest,1,0.4439635935333108,0.6301163442668909,0.3203125,1.3860326822503362,full_source,off_diagonal,11.51955949998228,1.7758140563964844
cert42,lanl,random_forest,1,0.0075674922352205,0.92023048846,0.0004515854240541,16.75760959528633,full_source,off_diagonal,12.284716200025288,1.3370704650878906
cert52,cert42,random_forest,1,0.9457484857052308,0.9990090091890288,0.0029232687349448,323.52430496714794,full_source,off_diagonal,34.0594667000114,1.7364387512207031
cert52,cert62,random_forest,1,0.3068971419523539,0.9964340218680174,3.156361862540441e-05,9723.129201204569,full_source,off_diagonal,35.42371850000927,2.494029998779297
cert52,spedia,random_forest,1,0.4958824260542075,0.7169890664423886,0.3203125,1.5481207447545993,full_source,off_diagonal,32.94320559996413,1.8096923828125
cert52,lanl,random_forest,1,0.004445533615557,0.9012340520192608,0.0004515854240541,9.844280569658885,full_source,off_diagonal,33.57811520004179,1.771892547607422
cert62,cert42,random_forest,1,0.2557312942397952,0.8113568987162878,0.0029232687349448,87.48128120510229,full_source,off_diagonal,48.235490999999456,2.350250244140625
cert62,cert52,random_forest,1,0.2641114260541017,0.8331901466575984,0.0018842382818976,140.16880380336772,full_source,off_diagonal,48.70667290000711,2.510650634765625
cert62,spedia,random_forest,1,0.5782292227106214,0.6894799551443791,0.3203125,1.8052034269990127,full_source,off_diagonal,47.655414700042456,2.230045318603516
cert62,lanl,random_forest,1,0.0170756798068339,0.9295706110032198,0.0004515854240541,37.81273463952197,full_source,off_diagonal,48.515291399962734,2.3914451599121094
spedia,cert42,random_forest,1,0.0688230334896911,0.9542389329064636,0.0029232687349448,23.54317708357704,full_source,off_diagonal,1.4558899000403471,1.806678771972656
spedia,cert52,random_forest,1,0.0327362662243103,0.909344789544894,0.0018842382818976,17.373740114940038,full_source,off_diagonal,2.045345499995165,1.4819602966308594
spedia,cert62,random_forest,1,0.0806558067253559,0.9966009181389972,3.156361862540441e-05,2555.3409348457585,full_source,off_diagonal,3.204604399972596,2.1883506774902344
spedia,lanl,random_forest,1,0.0070709366149581,0.9128676594132992,0.0004515854240541,15.658026672957735,full_source,off_diagonal,1.6060653000022285,1.731353759765625
lanl,cert42,random_forest,1,0.0028350900036705,0.4811479845720925,0.0029232687349448,0.9698355713177476,full_source,off_diagonal,16.568200699985027,1.2932853698730469
lanl,cert52,random_forest,1,0.0027989534632418,0.5517170170885797,0.0018842382818976,1.4854562133314897,full_source,off_diagonal,17.394689099979587,1.7476959228515625
lanl,cert62,random_forest,1,3.850933960684782e-05,0.5524374339115875,3.156361862540441e-05,1.22005464784868,full_source,off_diagonal,18.38442750001559,2.3741912841796875
lanl,spedia,random_forest,1,0.3428417174796748,0.5131763386599383,0.3203125,1.0703351179853264,full_source,off_diagonal,16.144306700036395,1.78948974609375
cert42,cert52,random_forest,2,0.5992229385738114,0.9892685842113708,0.0018842382818976,318.0186626769592,full_source,off_diagonal,12.780420500028413,1.737457275390625
