source,target,seed,protocol,n,n_positive,base_rate,pr_auc,lift,evaluable,pred_file
cert52,cert62,1,full_source,1394010,44,3.156361862540441e-05,0.0295184939971171,935.206268566394,True,rf\predictions\rf_cert52_to_cert62_full_source_seed1.parquet
cert52,spedia,1,full_source,256,82,0.3203125,0.3501855981138583,1.0932623550871674,True,rf\predictions\rf_cert52_to_spedia_full_source_seed1.parquet
cert52,lanl,1,full_source,389323,158,0.0004058326890525,0.0009696991010775,2.3894060957520624,True,rf\predictions\rf_cert52_to_lanl_full_source_seed1.parquet
cert62,cert62,1,user_disjoint,418962,1,2.386851313484278e-06,2.386851313484278e-06,1.0,True,rf\predictions\rf_cert62_to_cert62_user_disjoint_seed1.parquet
cert62,cert62,1,temporal,415219,38,9.151797003508992e-05,9.151797003508992e-05,1.0,True,rf\predictions\rf_cert62_to_cert62_temporal_seed1.parquet
cert62,cert42,1,full_source,330452,966,0.0029232687349448,0.009005422916779,3.080600428256164,True,rf\predictions\rf_cert62_to_cert42_full_source_seed1.parquet
cert62,cert52,1,full_source,693649,1307,0.0018842382818976,0.1386568361507644,73.58773966269439,True,rf\predictions\rf_cert62_to_cert52_full_source_seed1.parquet
cert62,spedia,1,full_source,256,82,0.3203125,0.2870096602196226,0.8960301587344315,True,rf\predictions\rf_cert62_to_spedia_full_source_seed1.parquet
cert62,lanl,1,full_source,389323,158,0.0004058326890525,0.0005482612652207,1.350953927592115,True,rf\predictions\rf_cert62_to_lanl_full_source_seed1.parquet
spedia,spedia,1,user_disjoint,81,18,0.2222222222222222,0.9744158189591626,4.384871185316232,True,rf\predictions\rf_spedia_to_spedia_user_disjoint_seed1.parquet
spedia,spedia,1,temporal,76,30,0.3947368421052631,0.990286159239626,2.508724936740386,True,rf\predictions\rf_spedia_to_spedia_temporal_seed1.parquet
spedia,cert42,1,full_source,330452,966,0.0029232687349448,0.0065704886416559,2.2476512552924444,True,rf\predictions\rf_spedia_to_cert42_full_source_seed1.parquet
spedia,cert52,1,full_source,693649,1307,0.0018842382818976,0.0028370016499676,1.5056490876039854,True,rf\predictions\rf_spedia_to_cert52_full_source_seed1.parquet
spedia,cert62,1,full_source,1394010,44,3.156361862540441e-05,0.0002604497479858,8.251580754312267,True,rf\predictions\rf_spedia_to_cert62_full_source_seed1.parquet
spedia,lanl,1,full_source,389323,158,0.0004058326890525,0.0008334070700426,2.0535730425961973,True,rf\predictions\rf_spedia_to_lanl_full_source_seed1.parquet
lanl,lanl,1,user_disjoint,116981,46,0.0003932262504167,0.0034055287022989,8.660481589644235,True,rf\predictions\rf_lanl_to_lanl_user_disjoint_seed1.parquet
lanl,lanl,1,temporal,116299,0,0.0,,,False,
lanl,cert42,1,full_source,330452,966,0.0029232687349448,0.0029089102450191,0.9950882073365134,True,rf\predictions\rf_lanl_to_cert42_full_source_seed1.parquet
lanl,cert52,1,full_source,693649,1307,0.0018842382818976,0.0019344498457638,1.0266482028035595,True,rf\predictions\rf_lanl_to_cert52_full_source_seed1.parquet
lanl,cert62,1,full_source,1394010,44,3.156361862540441e-05,3.120168359181904e-05,0.9885331578143556,True,rf\predictions\rf_lanl_to_cert62_full_source_seed1.parquet
lanl,spedia,1,full_source,256,82,0.3203125,0.3572472052845528,1.1153083482054331,True,rf\predictions\rf_lanl_to_spedia_full_source_seed1.parquet
cert42,cert42,2,user_disjoint,100747,322,0.0031961249466485,0.5668357686409378,177.35094156294582,True,rf\predictions\rf_cert42_to_cert42_user_disjoint_seed2.parquet
cert42,cert42,2,temporal,98781,292,0.002956034055132,0.6683707868072306,226.1038859301543,True,rf\predictions\rf_cert42_to_cert42_temporal_seed2.parquet
cert42,cert52,2,full_source,693649,1307,0.0018842382818976,0.2503278632014367,132.85361283994902,True,rf\predictions\rf_cert42_to_cert52_full_source_seed2.parquet
cert42,cert62,2,full_source,1394010,44,3.156361862540441e-05,0.0002434347218314,7.71250992227886,True,rf\predictions\rf_cert42_to_cert62_full_source_seed2.parquet
cert42,spedia,2,full_source,256,82,0.3203125,0.3259006208038155,1.0174458405582532,True,rf\predictions\rf_cert42_to_spedia_full_source_seed2.parquet
cert42,lanl,2,full_source,389323,158,0.0004058326890525,0.0006787397437072,1.672461982527502,True,rf\predictions\rf_cert42_to_lanl_full_source_seed2.parquet
cert52,cert52,2,user_disjoint,209462,412,0.0019669438848096,0.5602231908574697,284.81910194996925,True,rf\predictions\rf_cert52_to_cert52_user_disjoint_seed2.parquet
cert52,cert52,2,temporal,207090,475,0.0022936887343667,0.8146970138142777,355.1907465069448,True,rf\predictions\rf_cert52_to_cert52_temporal_seed2.parquet
cert52,cert42,2,full_source,330452,966,0.0029232687349448,0.3818770657798186,130.63358192657623,True,rf\predictions\rf_cert52_to_cert42_full_source_seed2.parquet
cert52,cert62,2,full_source,1394010,44,3.156361862540441e-05,0.0802925639089365,2543.832659424924,True,rf\predictions\rf_cert52_to_cert62_full_source_seed2.parquet
cert52,spedia,2,full_source,256,82,0.3203125,0.34190193177079,1.0674011528453933,True,rf\predictions\rf_cert52_to_spedia_full_source_seed2.parquet
cert52,lanl,2,full_source,389323,158,0.0004058326890525,0.0010698640342784,2.6362194646670045,True,rf\predictions\rf_cert52_to_lanl_full_source_seed2.parquet
cert62,cert62,2,user_disjoint,419670,9,2.144542140253056e-05,2.144542140253056e-05,1.0,True,rf\predictions\rf_cert62_to_cert62_user_disjoint_seed2.parquet
cert62,cert62,2,temporal,415219,38,9.151797003508992e-05,9.151797003508992e-05,1.0,True,rf\predictions\rf_cert62_to_cert62_temporal_seed2.parquet
cert62,cert42,2,full_source,330452,966,0.0029232687349448,0.0204260084447981,6.987386483023233,True,rf\predictions\rf_cert62_to_cert42_full_source_seed2.parquet
cert62,cert52,2,full_source,693649,1307,0.0018842382818976,0.1164247936057821,61.788784743578574,True,rf\predictions\rf_cert62_to_cert52_full_source_seed2.parquet
cert62,spedia,2,full_source,256,82,0.3203125,0.2930244745893815,0.91480811579124,True,rf\predictions\rf_cert62_to_spedia_full_source_seed2.parquet
cert62,lanl,2,full_source,389323,158,0.0004058326890525,0.000418033533006,1.0300637289272767,True,rf\predictions\rf_cert62_to_lanl_full_source_seed2.parquet
