source,target,protocol,pr_auc_mean,pr_auc_sd,lift_mean,n_mean,n_positive_mean,base_rate_mean,n_seeds,evaluable,mark
cert42,cert42,temporal,0.6660468405799478,0.002583724109634868,225.31771561413635,98781.0,292.0,0.002956034055132,5,False,aux
cert42,cert42,user_disjoint,0.5496816080329119,0.07605544320510592,206.53284062761267,99132.0,272.4,0.0027455907357087,5,True,yes
cert42,cert52,full_source,0.24986378140653792,0.001766029078351502,132.60731607411142,693649.0,1307.0,0.0018842382818976,5,True,yes
cert42,cert62,full_source,0.00024712200302862,1.9198296934927796e-05,7.829330532773035,1394010.0,44.0,3.156361862540441e-05,5,False,n/e
cert42,lanl,full_source,0.0008254792629722799,8.840069702022273e-05,2.0340383740391106,389323.0,158.0,0.0004058326890525,5,True,yes
cert42,spedia,full_source,0.31480152378984744,0.022458169136081833,0.9827950011000113,256.0,82.0,0.3203125,5,True,yes
cert52,cert42,full_source,0.38962209301531003,0.009085368143550937,133.28302265123733,330452.0,966.0,0.0029232687349448,5,True,yes
cert52,cert52,temporal,0.8150389224057489,0.0014911444649624902,355.33981145475065,207090.0,475.0,0.0022936887343667,5,False,aux
cert52,cert52,user_disjoint,0.6254060355240105,0.03968681870839229,317.272355104585,207697.2,410.0,0.00197411075683676,5,True,yes
cert52,cert62,full_source,0.05152400181938958,0.023931738431366603,1632.3857676419848,1394010.0,44.0,3.156361862540441e-05,5,False,n/e
cert52,lanl,full_source,0.00096761477116508,0.00012181959932839336,2.384270161736235,389323.0,158.0,0.0004058326890525,5,True,yes
cert52,spedia,full_source,0.36336456960457103,0.025808428916996008,1.1344064612045144,256.0,82.0,0.3203125,5,True,yes
cert62,cert42,full_source,0.015045351149622683,0.004194352476736454,5.146756084984607,330452.0,966.0,0.0029232687349448,5,True,yes
cert62,cert52,full_source,0.13540056966373454,0.013669999361287788,71.85957899516434,693649.0,1307.0,0.0018842382818976,5,True,yes
cert62,cert62,temporal,0.0002494655019831159,0.00023670043835257723,2.7258635859984888,415219.0,38.0,9.151797003508992e-05,5,False,n/e
cert62,cert62,user_disjoint,0.00010398585317219792,0.00014392148991206725,11.381361694003038,419258.6,4.6,1.0961670002355292e-05,5,False,n/e
cert62,lanl,full_source,0.00044680716502802,6.160813305722207e-05,1.1009639614571096,389323.0,158.0,0.0004058326890525,5,True,yes
cert62,spedia,full_source,0.3017514989505609,0.016659369896785462,0.9420534601383366,256.0,82.0,0.3203125,5,True,yes
lanl,cert42,full_source,0.00290463605288334,7.89133349233179e-05,0.9936260796557146,330452.0,966.0,0.0029232687349448,5,True,yes
lanl,cert52,full_source,0.0018892814438081797,3.431593685844031e-05,1.0026764990176993,693649.0,1307.0,0.0018842382818976,5,True,yes
lanl,cert62,full_source,4.8909830972148685e-05,3.337753081709803e-05,1.5495634880339797,1394010.0,44.0,3.156361862540441e-05,5,False,n/e
lanl,lanl,temporal,,,,116299.0,0.0,0.0,5,False,aux
lanl,lanl,user_disjoint,0.0036057501226088398,0.0024620205253537307,9.023747677828663,116210.0,48.8,0.00041993432854434,5,True,yes
lanl,spedia,full_source,0.3411614925533978,0.02011937914221111,1.065089537727681,256.0,82.0,0.3203125,5,True,yes
spedia,cert42,full_source,0.00877709157839222,0.0017944346240300639,3.002492201100293,330452.0,966.0,0.0029232687349448,5,True,yes
spedia,cert52,full_source,0.0036712652024201,0.0005350874729701731,1.9484081380210676,693649.0,1307.0,0.0018842382818976,5,True,yes
spedia,cert62,full_source,0.00025227281639160005,4.696607277124215e-05,7.992518835866403,1394010.0,44.0,3.156361862540441e-05,5,False,n/e
spedia,lanl,full_source,0.0007905186310278201,9.674747878660479e-05,1.9478929429598346,389323.0,158.0,0.0004058326890525,5,True,yes
spedia,spedia,temporal,0.9924214733082735,0.0015102004946364205,2.514134399047626,76.0,30.0,0.3947368421052631,5,False,aux
spedia,spedia,user_disjoint,0.9894593922392364,0.014443516764172713,2.664957324544828,65.6,25.8,0.4125229794452018,5,True,yes
